start_date,end_date,type,name,place,tech_list
15-07-2020,16-09-2020,Internship,Flutter Mobile App Intern,PriME Technology PVT Ltd.,"Flutter,Firebase,Dart"
01-12-2020,02-01-2021,Internship,Flutter Mobile App Intern,PriME Technology PVT Ltd.,"Flutter,Firebase,Dart"
01-10-2020,31-10-2020,Open Source,HactoberFest 2020,DigitalOcean,Flutter
01-06-2019,29-06-2019,Internship,Core Java Student Intern,Central Tool Room and Training Centre (CTTC),Java
15-03-2021,30-12-2021,Internship,Intern,Fynarfin Tech Private Limited,"Python,Angular,Docker,Elasticsearch,Java"
