std,start_year,end_year,institute,address,score
B.Tech. (CSE),2018,2022,College of Engineering and Technology (CET),"Ghatikia, Bhubaneswar",89.68
Class-12,2016,2018,D.A.V. Public School,"CDA-6, Cuttack",92.40
Class-10,2015,2016,D.A.V. Public School,"CDA-6, Cuttack",10
