class,type,subject,language,source,material_name,gdrive_file_id
6,Book,Social Science,English,NCERT,Social and Political Life,16vrjWU59wsBuXe8KyE-23O85NtOzo21i
6,Book,Social Science,Hindi,NCERT,Hamare Ateet,1xtwYBBC6_sazanIZvJH2uv4-OC8OxMmi
6,Book,Social Science,Hindi,NCERT,Prithvi: Hamara Avas (Bhugol),1d_kgVR56G3cRRh6jOtw-8_09-CfS3FsN
6,Book,Social Science,Hindi,NCERT,Samajik Evem Rajnitik Jeevan,1482DO1WJjTS-Yu7laktE7k1SQk17yCWP
6,Book,Social Science,Urdu,NCERT,Hamare Maazi,1Z8ExqFFFPOlYbgqrgVbIm3GO0wbGUDHb
6,Book,Social Science,Urdu,NCERT,Zammen Hamara Maskan,1Z-PaW8MahqqyFdkqQRU3J3gRjIhjYuqd
6,Book,Social Science,Urdu,NCERT,Samazi Aur Siyasi Zindagi,1u1UTxoPK8RQXI8v_ERLvDXEOlEKew20t
6,Book,Sanskrit,Sanskrit,NCERT,Ruchira,1YNlsbuItdGKlm_Ua3YFiHbySqRGpFdSr
6,Book,Urdu,Urdu,NCERT,Apni Zuban-VI,14K0wWWA2c2n8t-vaNGUoRDqXyA5nXaWh
6,Book,Urdu,Urdu,NCERT,Urdu Guldasta,1Qcpg6HEDeLQk-OIV-yRDEMCBNbe5z_z9
6,Book,Urdu,Urdu,NCERT,Jaan Pahechan,13FVYMaU9R6d4NdooUa7grmW8o7GFmAV2

7,Book,Maths,Hindi,NCERT,Ganit,1TY-eDkvoV3dswTJOfkG6WkEho1faxivj
7,Book,Maths,English,NCERT,Mathematics,1JQFowdGvWbfcyOqISsKILU-YChuwuOhZ
7,Book,Maths,Urdu,NCERT,Hisab,1gxkbmuP6JBjrcXVAFvxds2RPNzeomhtB
7,Book,Science,English,NCERT,Science,1U0GNfFLjxoF27mk3NnzAwPMwL2a-ZXE2
7,Book,Science,Hindi,NCERT,Vigyan,1VnIm3g9zO0HkT63tCIqvV8VlikaNC-1V
7,Book,Science,Urdu,NCERT,Science,1KimMOA501Xv-NwXK-1XsLwI-q8SAfDHE
7,Book,English,English,NCERT,Honeycomb,1pH_Ldg55GKMuNCEPgq0rQYhbAo3rDrye
7,Book,English,English,NCERT,An Alien Hand,1k40-r4iMDT_5mdKmJ_ZppDrGi5yOSrdw
